id,city,match_date,season,match_number,team1,team2,venue,toss_winner,toss_decision,superover,winning_team,won_by,margin,method,player_of_match,umpire1,umpire2
1359506,Bengaluru,23-04-2023,2023,32,Royal Challengers Bangalore,Rajasthan Royals,"M Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field,N,Royal Challengers Bangalore,runs,7,NA,GJ Maxwell,MA Gough,MV Saidharshan Kumar
1359507,Kolkata,23-04-2023,2023,33,Chennai Super Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,N,Chennai Super Kings,runs,49,NA,AM Rahane,Nitin Menon,Tapan Sharma
1359504,Lucknow,22-04-2023,2023,30,Gujarat Titans,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Gujarat Titans,bat,N,Gujarat Titans,runs,7,NA,MM Sharma,A Totre,RJ Tucker
1359505,Mumbai,22-04-2023,2023,31,Punjab Kings,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,field,N,Punjab Kings,runs,13,NA,SM Curran,CB Gaffaney,GR Sadashiv Iyer
1359503,Chennai,21-04-2023,2023,29,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,field,N,Chennai Super Kings,wickets,7,NA,RA Jadeja,HAS Khalid,VK Sharma
1359501,Chandigarh,20-04-2023,2023,27,Royal Challengers Bangalore,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,field,N,Royal Challengers Bangalore,runs,24,NA,Mohammed Siraj,AK Chaudhary,GR Sadashiv Iyer
1359502,Delhi,20-04-2023,2023,28,Kolkata Knight Riders,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,N,Delhi Capitals,wickets,4,NA,I Sharma,MA Gough,R Pandit
1359500,Jaipur,19-04-2023,2023,26,Lucknow Super Giants,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field,N,Lucknow Super Giants,runs,10,NA,MP Stoinis,J Madanagopal,YC Barde
1359499,Hyderabad,18-04-2023,2023,25,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,field,N,Mumbai Indians,runs,14,NA,C Green,Nitin Menon,Vinod Seshan
1359498,Bengaluru,17-04-2023,2023,24,Chennai Super Kings,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field,N,Chennai Super Kings,runs,8,NA,DP Conway,KN Ananthapadmanabhan,Navdeep Singh
1359496,Mumbai,16-04-2023,2023,22,Kolkata Knight Riders,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,field,N,Mumbai Indians,wickets,5,NA,VR Iyer,BNJ Oxenford,UV Gandhe
1359497,Ahmedabad,16-04-2023,2023,23,Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,field,N,Rajasthan Royals,wickets,3,NA,SO Hetmyer,AK Chaudhary,CB Gaffaney
1359494,Bengaluru,15-04-2023,2023,20,Royal Challengers Bangalore,Delhi Capitals,"M Chinnaswamy Stadium, Bengaluru",Delhi Capitals,field,N,Royal Challengers Bangalore,runs,23,NA,V Kohli,KN Ananthapadmanabhan,MV Saidharshan Kumar
1359495,Lucknow,15-04-2023,2023,21,Lucknow Super Giants,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Punjab Kings,field,N,Punjab Kings,wickets,2,NA,Sikandar Raza,HAS Khalid,VK Sharma
1359493,Kolkata,14-04-2023,2023,19,Sunrisers Hyderabad,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,N,Sunrisers Hyderabad,runs,23,NA,HC Brook,CB Gaffaney,GR Sadashiv Iyer
1359492,Chandigarh,13-04-2023,2023,18,Punjab Kings,Gujarat Titans,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Gujarat Titans,field,N,Gujarat Titans,wickets,6,NA,MM Sharma,A Totre,J Madanagopal
1359491,Chennai,12-04-2023,2023,17,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,field,N,Rajasthan Royals,runs,3,NA,R Ashwin,Vinod Seshan,VK Sharma
1359490,Delhi,11-04-2023,2023,16,Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Mumbai Indians,field,N,Mumbai Indians,wickets,6,NA,RG Sharma,MA Gough,R Pandit
1359489,Bengaluru,10-04-2023,2023,15,Royal Challengers Bangalore,Lucknow Super Giants,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,field,N,Lucknow Super Giants,wickets,1,NA,N Pooran,AK Chaudhary,A Nand Kishore
1359487,Ahmedabad,09-04-2023,2023,13,Gujarat Titans,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,bat,N,Kolkata Knight Riders,wickets,3,NA,RK Singh,Nitin Menon,Tapan Sharma
1359488,Hyderabad,09-04-2023,2023,14,Punjab Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,field,N,Sunrisers Hyderabad,wickets,8,NA,S Dhawan,BNJ Oxenford,UV Gandhe
1359485,Guwahati,08-04-2023,2023,11,Rajasthan Royals,Delhi Capitals,"Barsapara Cricket Stadium, Guwahati",Delhi Capitals,field,N,Rajasthan Royals,runs,57,NA,YBK Jaiswal,Navdeep Singh,MV Saidharshan Kumar
1359486,Mumbai,08-04-2023,2023,12,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai",Chennai Super Kings,field,N,Chennai Super Kings,wickets,7,NA,RA Jadeja,CB Gaffaney,NA Patwardhan
1359484,Lucknow,07-04-2023,2023,10,Sunrisers Hyderabad,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sunrisers Hyderabad,bat,N,Lucknow Super Giants,wickets,5,NA,KH Pandya,J Madanagopal,YC Barde
1359483,Kolkata,06-04-2023,2023,9,Kolkata Knight Riders,Royal Challengers Bangalore,"Eden Gardens, Kolkata",Royal Challengers Bangalore,field,N,Kolkata Knight Riders,runs,81,NA,SN Thakur,Vinod Seshan,VK Sharma
1359482,Guwahati,05-04-2023,2023,8,Punjab Kings,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,field,N,Punjab Kings,runs,5,NA,NT Ellis,KN Ananthapadmanabhan,MV Saidharshan Kumar
1359481,Delhi,04-04-2023,2023,7,Delhi Capitals,Gujarat Titans,"Arun Jaitley Stadium, Delhi",Gujarat Titans,field,N,Gujarat Titans,wickets,6,NA,B Sai Sudharsan,A Nand Kishore,GR Sadashiv Iyer
1359480,Chennai,03-04-2023,2023,6,Chennai Super Kings,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",Lucknow Super Giants,field,N,Chennai Super Kings,runs,12,NA,MM Ali,A Totre,BNJ Oxenford
1359478,Hyderabad,02-04-2023,2023,4,Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,field,N,Rajasthan Royals,runs,72,NA,JC Buttler,KN Ananthapadmanabhan,R Pandit
1359479,Bengaluru,02-04-2023,2023,5,Mumbai Indians,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field,N,Royal Challengers Bangalore,wickets,8,NA,F du Plessis,Nitin Menon,Tapan Sharma
1359476,Chandigarh,01-04-2023,2023,2,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kolkata Knight Riders,field,N,Punjab Kings,runs,7,D/L,Arshdeep Singh,BNJ Oxenford,YC Barde
1359477,Lucknow,01-04-2023,2023,3,Lucknow Super Giants,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Delhi Capitals,field,N,Lucknow Super Giants,runs,50,NA,MA Wood,AK Chaudhary,NA Patwardhan
1359475,Ahmedabad,31-03-2023,2023,1,Chennai Super Kings,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,field,N,Gujarat Titans,wickets,5,NA,Rashid Khan,Nitin Menon,HAS Khalid
